1561	大董(国金中心IFC店)	None	active
1562	大董(环贸iapm店)	None	active
1572	鼎泰丰(新天地店)	None	active
1581	大壶春(四川中路店)	Da Hu Chun	active
1584	南翔馒头店(豫园店)	Nanxiang Steamed Bun	active
1592	老正兴(福州路店)	Lao Zheng Xing	active
1593	鹿园MOOSE(新华路店)	MOOSE Restaurant & Bar	active
1594	人和馆(肇嘉浜路店)	Ren He Guan	active
1595	海金滋(进贤路店)	Hai Jin Zi	active
1644	那时新疆·乌孙(虹桥南丰城店)	None	active
1746	上海宝格丽酒店 Il Ristorante – Niko Romito	Il Ristorante - Niko Romito	active
1774	乔尔卢布松美食坊Boulangerie(外滩18号)	Boulangerie by Joël Robuchon	active
1799	星神早餐（康定路店）	Xingshen Breakfast	active
1810	Polux by Paul Pairet	Polux	active
